age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
32.0,65.0,135.0,67.0,14.0,22.0,11.0,8.0,75.0,40.0,27.0,27.0,10.0,8.0,1.0
32.0,68.0,158.0,72.0,13.0,22.0,36.0,77.0,104.0,87.0,36.0,36.0,5.0,4.0,1.0
23.0,62.0,119.0,63.0,16.0,39.0,18.0,10.0,70.0,120.0,36.0,29.0,5.0,4.0,0.0
35.0,71.0,152.0,76.0,21.0,36.0,78.0,135.0,90.0,170.0,46.0,44.0,12.0,12.0,1.0
28.0,70.0,165.0,72.0,14.0,34.0,32.0,50.0,80.0,45.0,28.0,28.0,8.0,6.0,1.0
31.0,69.0,149.0,70.0,22.0,30.0,65.0,125.0,135.0,153.0,34.5,34.0,12.0,10.0,1.0
34.0,70.0,164.0,72.0,20.0,45.0,60.0,90.0,125.0,116.0,30.0,29.55,5.0,6.0,1.0
37.0,69.0,156.0,71.0,14.0,29.0,41.9,58.0,65.0,120.0,31.335,31.33,6.0,6.0,1.0
35.0,68.0,163.0,72.0,15.0,30.0,50.0,65.0,80.0,125.0,33.4125,33.739999999999995,8.0,7.0,1.0
53.0,68.0,148.0,70.0,12.0,26.0,64.0,58.0,50.0,195.0,31.25,31.5,6.0,7.0,1.0
35.0,66.0,120.0,67.575,12.0,35.0,57.0,60.0,40.0,397.0,26.0,26.0,0.0,4.0,0.0
39.0,68.0,137.0,68.0,16.0,28.0,45.0,72.3,85.0,70.0,35.0,35.0,6.0,7.0,1.0
32.0,69.0,155.0,72.0,14.0,30.0,38.0,55.0,88.0,90.0,29.0,30.0,2.0,2.0,1.0
30.0,65.0,138.0,63.0,11.0,19.0,36.0,30.0,60.0,100.0,31.5,30.0,7.0,7.0,0.0
34.0,73.0,156.0,73.5,22.0,28.0,64.0,65.0,85.0,170.0,33.0,33.0,0.0,0.0,1.0
31.0,62.0,113.0,61.0,15.0,30.0,55.0,65.0,55.0,100.0,39.0,39.0,9.0,8.0,0.0
26.0,70.0,127.0,71.0,15.6,25.0,40.0,115.0,75.0,104.3,31.785000000000004,31.9,9.0,9.0,1.0
31.0,68.5,145.0,69.0,8.0,8.0,60.0,35.0,25.0,98.0,32.4,31.825,8.0,6.0,0.0
45.0,67.0,144.0,69.0,18.0,31.0,45.0,75.0,110.0,133.0,36.0,36.25,8.0,7.0,1.0
25.0,74.0,145.0,76.0,11.0,15.0,12.0,0.0,50.0,24.0,31.0,34.0,5.0,5.0,1.0
34.0,69.0,148.0,144.0,20.2,32.2,61.0,85.0,94.5,152.0,34.95,35.260000000000005,6.0,6.0,1.0
29.0,67.0,145.0,67.0,22.0,34.0,38.0,90.0,115.0,110.0,33.0,35.0,10.0,8.0,1.0
30.0,74.0,160.0,75.0,6.0,20.0,24.0,34.0,26.0,68.2,32.1,31.68,6.0,7.0,0.0
45.0,63.0,125.0,64.0,7.0,15.0,55.0,40.0,20.0,200.0,16.5,17.0,5.0,4.0,0.0
42.0,69.0,153.0,70.0,28.0,43.0,76.0,95.0,110.0,220.0,40.0,40.0,7.0,0.0,1.0
31.0,66.0,142.0,68.0,21.0,53.0,103.0,62.0,100.0,80.0,34.0,34.0,10.0,8.0,1.0
40.0,69.0,146.0,68.0,2.0,10.0,13.0,1.1,18.0,23.1,31.425,31.76,0.0,5.0,0.0
40.0,72.0,195.0,75.0,10.0,25.0,34.0,40.0,65.0,67.0,33.0,32.0,7.0,6.0,1.0
31.0,69.0,162.0,70.0,22.0,37.0,63.0,95.0,105.0,94.0,38.5,37.0,10.0,9.0,1.0
34.0,67.0,149.0,71.0,11.0,18.0,31.0,80.0,55.0,150.0,29.025,29.130000000000003,5.0,5.0,0.0
30.0,69.0,160.0,73.0,9.0,17.0,31.0,40.0,55.0,68.0,27.33,28.3,4.0,0.0,1.0
27.0,67.0,140.0,68.0,8.0,25.0,31.0,31.0,31.0,91.0,32.0,34.0,5.0,6.0,0.0
25.0,71.0,158.0,75.0,16.0,15.0,54.0,100.0,125.0,206.0,41.25,41.25,13.0,12.0,1.0
25.0,69.5,157.0,70.0,13.0,19.0,41.0,55.0,90.0,110.0,35.0,35.0,0.0,5.0,1.0
27.0,72.5,175.0,75.5,13.0,30.0,60.0,90.0,110.0,160.0,42.0,43.0,8.0,8.0,1.0
26.0,68.0,143.0,68.0,13.0,30.0,60.0,80.0,60.0,130.0,28.8,28.8,5.0,5.0,0.0
24.0,64.0,123.0,65.0,13.0,23.0,59.0,53.0,63.0,257.0,23.5,23.5,0.0,5.0,0.0
35.0,69.0,157.0,68.5,18.0,39.0,26.0,36.0,90.0,137.0,38.125,39.75,6.0,6.0,1.0
37.0,69.7,132.0,70.0,17.0,45.0,60.0,55.0,75.4,126.0,30.6,30.3,8.0,7.0,1.0
32.0,70.0,165.0,74.0,11.0,26.0,61.0,70.0,70.0,9.0,33.0,34.0,8.0,7.0,1.0
39.0,68.9,135.0,68.9,22.0,40.0,70.0,99.3,100.0,182.9,39.0,39.0,9.0,8.0,1.0
33.0,71.0,145.0,71.0,15.0,27.0,48.0,55.0,75.0,73.0,31.525,31.08,11.0,10.0,1.0
36.0,71.0,162.0,71.0,17.0,36.0,43.0,40.0,105.0,125.0,34.0,34.0,7.0,6.0,1.0
36.0,70.0,163.0,68.0,5.0,29.0,11.0,0.0,22.0,23.0,48.0,51.0,0.0,0.0,0.0
23.0,61.0,100.0,63.0,15.0,33.0,41.0,41.0,55.0,100.0,31.0,31.0,7.0,7.0,0.0
